ticker,Mkt-RF,SMB,HML,RMW,CMA,Mom,r_squared,residual_vol_annual_pct
IYW,1.15681998653,-0.200953297314,-0.266154501678,-0.171805654541,-0.293872782271,-0.000258541918701,0.86143649513,7.54442886265
IYF,1.01134687267,-0.0951295381834,0.708668834021,-0.171875681678,-0.265098455126,-0.129245875162,0.891472631438,6.83091588337
IYZ,0.865241335189,0.0984285195631,-0.138692905052,0.141533509828,0.431851665901,-0.0173778210118,0.587482629656,11.3824586872
IYH,0.731156357633,0.000179195443854,-0.156271680302,-0.0112699793542,0.343862138425,0.03499564961,0.586655317212,9.29039846422
IYE,0.994228813274,0.290686008755,0.555872302773,0.413764334155,0.398527400114,0.00235715959514,0.538971556185,17.7686213562
IYK,0.763057282154,-0.0641973960141,-0.024545454677,0.346200415242,0.570550965461,0.00818966574775,0.714898526603,7.45889439592
IYJ,1.08772223694,0.194479173068,0.0975025113063,0.127661917322,0.143795723503,-0.0270643512937,0.909443484517,5.71701305485
IDU,0.59863649898,-0.13856113924,-0.0450925770308,0.294168253747,0.354614074509,0.174158990243,0.349156757325,11.6799709023
IYM,1.17263648535,0.146983457062,0.117001148023,0.214285600481,0.293786977602,-0.0960287081288,0.743111246557,11.5752837511
IYC,1.00633693618,0.171540733484,-0.118214169468,0.168449934893,-0.0739654727617,-0.0522860480819,0.88525366765,5.98614533264
