ticker,sector,Mkt-RF,SMB,HML,RMW,CMA,Mom
XLC,Communication Services,0.902437112727,-0.216457850888,-0.0151370379046,0.0336685841546,-0.150560704939,-0.255849567172
XLY,Consumer Discretionary,1.05818971453,0.186508836532,-0.196162625403,0.108840611453,-0.272715948911,-0.0722853649016
XLP,Consumer Staples,0.610395769524,-0.0750427398453,-0.0298260750595,0.425131673794,0.542953108262,0.0597860717401
XLE,Energy,0.998736775678,0.16906322472,0.92987926514,0.159567379087,0.507326346681,-0.309728881524
XLF,Financials,0.934496730587,0.0161851632022,0.662296014222,0.0246034523683,-0.235803322499,-0.0802385629814
XLV,Health Care,0.672268797626,0.051906635566,-0.109649532327,0.179314431134,0.45427389896,0.0644842985712
XLI,Industrials,1.04547898646,0.218050989127,0.215278300428,0.196171915987,0.097540382008,0.0981710010303
XLB,Materials,0.953701388398,0.212767428878,0.166049815644,0.384850793104,0.310820449924,-0.00620142492098
XLRE,Real Estate,0.817101648209,0.166692823933,-0.0268908350963,0.278740162392,0.207931065861,0.0358968942014
XLK,Technology,1.22504584187,-0.407327093366,-0.23472973258,-0.324972492153,-0.0498160277515,0.0207147399212
XLU,Utilities,0.571798975853,-0.0835887355104,0.0811653284514,0.261837247078,0.325029256512,0.18994914039
