ticker,alpha_arithmetic_annual_pct,se_arithmetic_annual_pct,p_value,holm_p_value,lower95_arithmetic_annual_pct,upper95_arithmetic_annual_pct
IYW,4.26734955658,1.98241637927,0.0313501262234,0.313501262234,0.381813453217,8.15288565995
IYF,-2.09387146225,1.66003484901,0.207185701738,1,-5.34753976631,1.1597968418
IYZ,-5.12980316843,2.90561934388,0.0774836875297,0.697353187767,-10.8248170824,0.565210745571
IYH,1.5787080706,1.75606818522,0.368651819828,1,-1.86318557244,5.02060171363
IYE,-3.1520089502,4.46165757915,0.47989844975,1,-11.8968578053,5.59283990494
IYK,-0.641680101893,1.43162361911,0.653995557476,1,-3.44766239534,2.16430219156
IYJ,-1.42542947858,1.23763267385,0.249428453786,1,-3.85118951934,1.00033056217
IDU,-0.269640222741,2.47256601748,0.91316061958,1,-5.115869617,4.57658917152
IYM,-3.95596244892,3.11101126671,0.2035152171,1,-10.0535445317,2.14161963383
IYC,-0.714237883855,1.39380958848,0.608346065001,1,-3.44610467728,2.01762890957
