model,months,etfs,rmse_pct_monthly,mse_pp2,rms_beta_monthly_change,mean_effective_df_including_intercept
Market,175,10,3.37405857482,11.3842712663,0.00901236540825,2
FF5,175,10,3.02555636268,9.15399130377,0.0407042413564,6
OLS,175,10,3.02879978736,9.17362815192,0.0434006290724,7
Ridge 0.1,175,10,2.99940498442,8.99643026058,0.0347181360649,6.15295306032
PCR 4,175,10,3.29788719952,10.8760599808,0.0854220840073,5
Ridge 0.01,175,10,3.01930072205,9.11617685018,0.0421476354156,6.89633509661
Ridge 1,175,10,3.54196790358,12.54553663,0.0191903143891,3.62723425168
PCR 3,175,10,3.87444187916,15.011299875,0.0568504992406,4
PCR 5,175,10,3.07462587781,9.45332428851,0.0850685858624,6
