window,scope,estimate,lower95,upper95,n,block,draws,seed,first_date,last_date,ols_mse_pp2,ridge_mse_pp2,relative_mse_reduction_pct,first_month,last_month
60,all available,-0.177197891337,-0.397819102473,0.0282447806848,175,12,2000,20260920,2012-01-31T00:00:00,2026-07-31T00:00:00,9.17362815192,8.99643026058,1.93160098057,2012-01,2026-07
60,common dates,-0.228102718469,-0.556763617151,0.0909551776586,115,12,2000,20260920,2017-01-31T00:00:00,2026-07-31T00:00:00,10.9054642529,10.6773615344,2.09163693704,2017-01,2026-07
36,all available,-0.394737209609,-0.667277758795,-0.161154373857,199,12,2000,20260920,2010-01-31T00:00:00,2026-07-31T00:00:00,9.46559788556,9.07086067595,4.17023007296,2010-01,2026-07
36,common dates,-0.480968395954,-0.929060223724,-0.0911725253431,115,12,2000,20260920,2017-01-31T00:00:00,2026-07-31T00:00:00,11.4574762612,10.9765078653,4.19785636023,2017-01,2026-07
120,all available,-0.165820806386,-0.458003142515,0.126234084067,115,12,2000,20260920,2017-01-31T00:00:00,2026-07-31T00:00:00,10.6306022594,10.464781453,1.55984395183,2017-01,2026-07
120,common dates,-0.165820806386,-0.458003142515,0.126234084067,115,12,2000,20260920,2017-01-31T00:00:00,2026-07-31T00:00:00,10.6306022594,10.464781453,1.55984395183,2017-01,2026-07
